------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    924   -5.7914435940    1.6174684953   -2.4459951007   -6.2020934807    1.8896644548   -2.6737914949
    925   -5.7927579410    1.6182401184   -2.4467050246   -6.2021006790    1.8896647506   -2.6738009038
    926   -5.7940685314    1.6190099821   -2.4474130488   -6.2021078617    1.8896650458   -2.6738102924
    927   -5.7953753741    1.6197780882   -2.4481191791   -6.2021150289    1.8896653403   -2.6738196607
    928   -5.7966784776    1.6205444386   -2.4488234168   -6.2021221806    1.8896656342   -2.6738290088
    929   -5.7979778505    1.6213090350   -2.4495257678   -6.2021293170    1.8896659274   -2.6738383368
    930   -5.7992735017    1.6220718793   -2.4502262339   -6.2021364380    1.8896662200   -2.6738476447
    931   -5.8005654397    1.6228329734   -2.4509248204   -6.2021435437    1.8896665120   -2.6738569327
    932   -5.8018536731    1.6235923191   -2.4516215300   -6.2021506342    1.8896668034   -2.6738662007
    933   -5.8031382107    1.6243499183   -2.4523163662   -6.2021577094    1.8896670941   -2.6738754488
    934   -5.8044190609    1.6251057728   -2.4530093341   -6.2021647696    1.8896673842   -2.6738846772
    935   -5.8056962325    1.6258598846   -2.4537004365   -6.2021718146    1.8896676737   -2.6738938858
    936   -5.8069697340    1.6266122556   -2.4543896773   -6.2021788445    1.8896679626   -2.6739030747
    937   -5.8082395741    1.6273628877   -2.4550770598   -6.2021858595    1.8896682508   -2.6739122440
    938   -5.8095057612    1.6281117828   -2.4557625874   -6.2021928595    1.8896685385   -2.6739213938
    939   -5.8107683040    1.6288589428   -2.4564462649   -6.2021998446    1.8896688255   -2.6739305240
    940   -5.8120272110    1.6296043698   -2.4571280949   -6.2022068148    1.8896691119   -2.6739396349
    941   -5.8132824909    1.6303480657   -2.4578080825   -6.2022137702    1.8896693977   -2.6739487264
    942   -5.8145341521    1.6310900324   -2.4584862300   -6.2022207109    1.8896696829   -2.6739577985
    943   -5.8157822031    1.6318302720   -2.4591625414   -6.2022276368    1.8896699675   -2.6739668515
    944   -5.8170266525    1.6325687864   -2.4598370212   -6.2022345480    1.8896702515   -2.6739758852
    945   -5.8182675089    1.6333055776   -2.4605096713   -6.2022414447    1.8896705349   -2.6739848999
    946   -5.8195047806    1.6340406477   -2.4611804980   -6.2022483267    1.8896708177   -2.6739938954
    947   -5.8207384763    1.6347739986   -2.4618495033   -6.2022551942    1.8896710999   -2.6740028720
    948   -5.8219686043    1.6355056324   -2.4625166918   -6.2022620472    1.8896713815   -2.6740118297
    949   -5.8231951732    1.6362355512   -2.4631820651   -6.2022688858    1.8896716625   -2.6740207684
    950   -5.8244181915    1.6369637570   -2.4638456288   -6.2022757100    1.8896719430   -2.6740296884
    951   -5.8256376675    1.6376902518   -2.4645073872   -6.2022825198    1.8896722228   -2.6740385896
    952   -5.8268536097    1.6384150377   -2.4651673420   -6.2022893154    1.8896725020   -2.6740474720
    953   -5.8280660266    1.6391381169   -2.4658254981   -6.2022960966    1.8896727807   -2.6740563359
    954   -5.8292749265    1.6398594914   -2.4664818590   -6.2023028637    1.8896730588   -2.6740651812
    955   -5.8304803180    1.6405791632   -2.4671364290   -6.2023096165    1.8896733362   -2.6740740079
    956   -5.8316822093    1.6412971346   -2.4677892101   -6.2023163553    1.8896736131   -2.6740828162
    957   -5.8328806089    1.6420134076   -2.4684402081   -6.2023230800    1.8896738895   -2.6740916060
    958   -5.8340755252    1.6427279843   -2.4690894249   -6.2023297906    1.8896741652   -2.6741003775
    959   -5.8352669664    1.6434408670   -2.4697368651   -6.2023364872    1.8896744404   -2.6741091308
    960   -5.8364549411    1.6441520576   -2.4703825326   -6.2023431699    1.8896747150   -2.6741178658
    961   -5.8376394575    1.6448615585   -2.4710264306   -6.2023498387    1.8896749890   -2.6741265826
    962   -5.8388205239    1.6455693717   -2.4716685627   -6.2023564936    1.8896752625   -2.6741352812
    963   -5.8399981488    1.6462754993   -2.4723089332   -6.2023631347    1.8896755354   -2.6741439619
    964   -5.8411723403    1.6469799437   -2.4729475447   -6.2023697620    1.8896758077   -2.6741526245
    965   -5.8423431069    1.6476827070   -2.4735844030   -6.2023763755    1.8896760795   -2.6741612691
    966   -5.8435104567    1.6483837913   -2.4742195087   -6.2023829754    1.8896763507   -2.6741698959
    967   -5.8446743981    1.6490831989   -2.4748528682   -6.2023895616    1.8896766213   -2.6741785048
    968   -5.8458349394    1.6497809320   -2.4754844842   -6.2023961343    1.8896768914   -2.6741870959
    969   -5.8469920888    1.6504769927   -2.4761143592   -6.2024026933    1.8896771609   -2.6741956693
    970   -5.8481458546    1.6511713834   -2.4767424999   -6.2024092389    1.8896774299   -2.6742042250
    971   -5.8492962449    1.6518641063   -2.4773689060   -6.2024157709    1.8896776983   -2.6742127631
    972   -5.8504432681    1.6525551635   -2.4779935848   -6.2024222895    1.8896779662   -2.6742212837
    973   -5.8515869323    1.6532445575   -2.4786165375   -6.2024287947    1.8896782335   -2.6742297867
    974   -5.8527272457    1.6539322903   -2.4792377683   -6.2024352866    1.8896785002   -2.6742382722
    975   -5.8538642166    1.6546183642   -2.4798572823   -6.2024417651    1.8896787665   -2.6742467404
    976   -5.8549978531    1.6553027816   -2.4804750824   -6.2024482304    1.8896790321   -2.6742551912
    977   -5.8561281634    1.6559855448   -2.4810911709   -6.2024546824    1.8896792972   -2.6742636247
    978   -5.8572551556    1.6566666559   -2.4817055535   -6.2024611212    1.8896795618   -2.6742720409
    979   -5.8583788378    1.6573461173   -2.4823182323   -6.2024675469    1.8896798259   -2.6742804400
    980   -5.8594992184    1.6580239313   -2.4829292121   -6.2024739595    1.8896800894   -2.6742888219
    981   -5.8606163052    1.6587001002   -2.4835384957   -6.2024803590    1.8896803523   -2.6742971867
    982   -5.8617301065    1.6593746263   -2.4841460867   -6.2024867454    1.8896806148   -2.6743055345
    983   -5.8628406303    1.6600475120   -2.4847519898   -6.2024931189    1.8896808767   -2.6743138653
    984   -5.8639478848    1.6607187595   -2.4853562079   -6.2024994794    1.8896811380   -2.6743221792
    985   -5.8650518780    1.6613883712   -2.4859587446   -6.2025058270    1.8896813989   -2.6743304762
    986   -5.8661526180    1.6620563494   -2.4865596040   -6.2025121617    1.8896816592   -2.6743387564
    987   -5.8672501128    1.6627226965   -2.4871587891   -6.2025184836    1.8896819189   -2.6743470197
    988   -5.8683443705    1.6633874148   -2.4877563045   -6.2025247927    1.8896821782   -2.6743552664
    989   -5.8694353991    1.6640505067   -2.4883521533   -6.2025310890    1.8896824369   -2.6743634964
    990   -5.8705232066    1.6647119746   -2.4889463384   -6.2025373726    1.8896826951   -2.6743717097
    991   -5.8716078011    1.6653718207   -2.4895388646   -6.2025436435    1.8896829528   -2.6743799065
    992   -5.8726891904    1.6660300476   -2.4901297352   -6.2025499018    1.8896832100   -2.6743880868
    993   -5.8737673826    1.6666866575   -2.4907189531   -6.2025561475    1.8896834666   -2.6743962505
    994   -5.8748423858    1.6673416529   -2.4913065233   -6.2025623806    1.8896837228   -2.6744043979
    995   -5.8759142077    1.6679950362   -2.4918924475   -6.2025686012    1.8896839784   -2.6744125289
    996   -5.8769828564    1.6686468097   -2.4924767318   -6.2025748093    1.8896842335   -2.6744206435
    997   -5.8780483398    1.6692969759   -2.4930593782   -6.2025810049    1.8896844881   -2.6744287419
    998   -5.8791106659    1.6699455371   -2.4936403912   -6.2025871881    1.8896847421   -2.6744368240
    999   -5.8801698424    1.6705924959   -2.4942197725   -6.2025933590    1.8896849957   -2.6744448900
   1000   -5.8812258774    1.6712378545   -2.4947975280   -6.2025995175    1.8896852488   -2.6744529398
   1001   -5.8822787787    1.6718816155   -2.4953736599   -6.2026056637    1.8896855013   -2.6744609735
   1002   -5.8833285542    1.6725237813   -2.4959481733   -6.2026117976    1.8896857534   -2.6744689913
   1003   -5.8843752118    1.6731643542   -2.4965210706   -6.2026179193    1.8896860049   -2.6744769930
   1004   -5.8854187592    1.6738033369   -2.4970923544   -6.2026240288    1.8896862560   -2.6744849788
   1005   -5.8864592044    1.6744407316   -2.4976620308   -6.2026301261    1.8896865065   -2.6744929486
   1006   -5.8874965551    1.6750765408   -2.4982301015   -6.2026362113    1.8896867566   -2.6745009027
   1007   -5.8885308191    1.6757107671   -2.4987965713   -6.2026422845    1.8896870061   -2.6745088409
   1008   -5.8895620044    1.6763434128   -2.4993614428   -6.2026483456    1.8896872552   -2.6745167634
   1009   -5.8905901185    1.6769744805   -2.4999247202   -6.2026543946    1.8896875038   -2.6745246702
   1010   -5.8916151695    1.6776039726   -2.5004864070   -6.2026604317    1.8896877518   -2.6745325614
   1011   -5.8926371648    1.6782318915   -2.5010465062   -6.2026664569    1.8896879994   -2.6745404369
   1012   -5.8936561124    1.6788582399   -2.5016050231   -6.2026724701    1.8896882465   -2.6745482968
   1013   -5.8946720200    1.6794830200   -2.5021619584   -6.2026784715    1.8896884931   -2.6745561413
   1014   -5.8956848952    1.6801062345   -2.5027173197   -6.2026844610    1.8896887392   -2.6745639703
   1015   -5.8966947459    1.6807278859   -2.5032711057   -6.2026904388    1.8896889849   -2.6745717838
   1016   -5.8977015796    1.6813479766   -2.5038233240   -6.2026964047    1.8896892300   -2.6745795820
   1017   -5.8987054042    1.6819665091   -2.5043739761   -6.2027023590    1.8896894747   -2.6745873648
   1018   -5.8997062272    1.6825834859   -2.5049230666   -6.2027083015    1.8896897189   -2.6745951323
   1019   -5.9007040562    1.6831989096   -2.5054705974   -6.2027142324    1.8896899626   -2.6746028846
   1020   -5.9016988991    1.6838127827   -2.5060165745   -6.2027201516    1.8896902058   -2.6746106217
   1021   -5.9026907634    1.6844251076   -2.5065610000   -6.2027260593    1.8896904486   -2.6746183436
   1022   -5.9036796566    1.6850358870   -2.5071038770   -6.2027319553    1.8896906909   -2.6746260505
   1023   -5.9046655865    1.6856451233   -2.5076452099   -6.2027378399    1.8896909327   -2.6746337422
   1024   -5.9056485607    1.6862528190   -2.5081850029   -6.2027437130    1.8896911740   -2.6746414190
   1025   -5.9066285866    1.6868589768   -2.5087232577   -6.2027495746    1.8896914149   -2.6746490807
   1026   -5.9076056719    1.6874635990   -2.5092599801   -6.2027554247    1.8896916553   -2.6746567275
   1027   -5.9085798242    1.6880666884   -2.5097951710   -6.2027612635    1.8896918952   -2.6746643595
   1028   -5.9095510509    1.6886682474   -2.5103288353   -6.2027670910    1.8896921347   -2.6746719765
   1029   -5.9105193597    1.6892682785   -2.5108609768   -6.2027729071    1.8896923736   -2.6746795788
   1030   -5.9114847580    1.6898667844   -2.5113915996   -6.2027787119    1.8896926122   -2.6746871663
   1031   -5.9124472533    1.6904637675   -2.5119207052   -6.2027845054    1.8896928502   -2.6746947391
   1032   -5.9134068532    1.6910592305   -2.5124482983   -6.2027902877    1.8896930879   -2.6747022972
   1033   -5.9143635651    1.6916531758   -2.5129743831   -6.2027960589    1.8896933250   -2.6747098407
   1034   -5.9153173965    1.6922456062   -2.5134989621   -6.2028018188    1.8896935617   -2.6747173696
   1035   -5.9162683549    1.6928365240   -2.5140220398   -6.2028075677    1.8896937979   -2.6747248840
   1036   -5.9172164476    1.6934259319   -2.5145436186   -6.2028133054    1.8896940337   -2.6747323838
   1037   -5.9181616822    1.6940138325   -2.5150637011   -6.2028190321    1.8896942690   -2.6747398692
   1038   -5.9191040659    1.6946002284   -2.5155822929   -6.2028247477    1.8896945039   -2.6747473401
   1039   -5.9200436064    1.6951851221   -2.5160993973   -6.2028304523    1.8896947383   -2.6747547967
   1040   -5.9209803108    1.6957685161   -2.5166150173   -6.2028361460    1.8896949722   -2.6747622389
   1041   -5.9219141866    1.6963504132   -2.5171291551   -6.2028418287    1.8896952058   -2.6747696669
   1042   -5.9228452413    1.6969308158   -2.5176418165   -6.2028475005    1.8896954388   -2.6747770805
   1043   -5.9237734813    1.6975097260   -2.5181530031   -6.2028531615    1.8896956714   -2.6747844800
   1044   -5.9246989155    1.6980871476   -2.5186627187   -6.2028588115    1.8896959036   -2.6747918653
   1045   -5.9256215505    1.6986630825   -2.5191709683   -6.2028644508    1.8896961353   -2.6747992364
   1046   -5.9265413936    1.6992375334   -2.5196777527   -6.2028700793    1.8896963666   -2.6748065935
   1047   -5.9274584521    1.6998105029   -2.5201830784   -6.2028756971    1.8896965975   -2.6748139365
   1048   -5.9283727333    1.7003819935   -2.5206869468   -6.2028813041    1.8896968279   -2.6748212655
   1049   -5.9292842444    1.7009520078   -2.5211893615   -6.2028869004    1.8896970578   -2.6748285805
   1050   -5.9301929928    1.7015205485   -2.5216903257   -6.2028924861    1.8896972874   -2.6748358816
   1051   -5.9310989856    1.7020876182   -2.5221898453   -6.2028980611    1.8896975164   -2.6748431688
   1052   -5.9320022301    1.7026532195   -2.5226879207   -6.2029036256    1.8896977451   -2.6748504421
   1053   -5.9329027335    1.7032173550   -2.5231845565   -6.2029091795    1.8896979733   -2.6748577016
   1054   -5.9338005031    1.7037800273   -2.5236797564   -6.2029147228    1.8896982011   -2.6748649474
   1055   -5.9346955459    1.7043412390   -2.5241735242   -6.2029202556    1.8896984285   -2.6748721794
   1056   -5.9355878693    1.7049009928   -2.5246658621   -6.2029257780    1.8896986554   -2.6748793977
   1057   -5.9364774803    1.7054592913   -2.5251567752   -6.2029312899    1.8896988819   -2.6748866023
   1058   -5.9373643862    1.7060161370   -2.5256462638   -6.2029367914    1.8896991079   -2.6748937934
   1059   -5.9382485940    1.7065715327   -2.5261343344   -6.2029422825    1.8896993336   -2.6749009708
   1060   -5.9391301109    1.7071254809   -2.5266209894   -6.2029477632    1.8896995588   -2.6749081347
   1061   -5.9400089440    1.7076779843   -2.5271062321   -6.2029532336    1.8896997836   -2.6749152852
   1062   -5.9408851004    1.7082290454   -2.5275900660   -6.2029586937    1.8897000079   -2.6749224221
   1063   -5.9417585872    1.7087786671   -2.5280724953   -6.2029641435    1.8897002319   -2.6749295456
   1064   -5.9426294115    1.7093268518   -2.5285535222   -6.2029695831    1.8897004554   -2.6749366557
   1065   -5.9434975803    1.7098736021   -2.5290331491   -6.2029750125    1.8897006785   -2.6749437525
   1066   -5.9443631007    1.7104189209   -2.5295113820   -6.2029804317    1.8897009012   -2.6749508360
   1067   -5.9452259797    1.7109628106   -2.5299882221   -6.2029858407    1.8897011235   -2.6749579061
   1068   -5.9460862243    1.7115052739   -2.5304636739   -6.2029912396    1.8897013453   -2.6749649631
   1069   -5.9469438416    1.7120463135   -2.5309377397   -6.2029966284    1.8897015667   -2.6749720068
   1070   -5.9477988385    1.7125859319   -2.5314104257   -6.2030020071    1.8897017878   -2.6749790374
   1071   -5.9486512221    1.7131241319   -2.5318817311   -6.2030073758    1.8897020084   -2.6749860548
   1072   -5.9495009992    1.7136609161   -2.5323516628   -6.2030127344    1.8897022286   -2.6749930592
   1073   -5.9503481769    1.7141962871   -2.5328202223   -6.2030180831    1.8897024484   -2.6750000505
   1074   -5.9511927621    1.7147302475   -2.5332874133   -6.2030234218    1.8897026677   -2.6750070287
   1075   -5.9520347617    1.7152628001   -2.5337532398   -6.2030287506    1.8897028867   -2.6750139940
   1076   -5.9528741826    1.7157939474   -2.5342177044   -6.2030340695    1.8897031053   -2.6750209464
   1077   -5.9537110318    1.7163236922   -2.5346808103   -6.2030393785    1.8897033234   -2.6750278858
   1078   -5.9545453160    1.7168520370   -2.5351425613   -6.2030446776    1.8897035412   -2.6750348124
